,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_Discrim_PC_125,1.0,0.32919322298061887,0.41095429519919097,0.3132475553948144,0.3841511785638395,0.3648193340434978,-0.15105658675374742,-0.24163866060817268,-0.2560425837988006,-0.01522119552959776,-0.10021761015394288,-0.010814638296017897,0.5290770393906342,0.3684321411990579,0.3670533506423089,0.3515865916686381,0.26527130912868735,0.3327625594199478,0.016554101462483956,-0.30771440275964385,-0.266033273018038,0.03918474223714747,0.009477587290127858,-0.042916141604245575
r0_Discrim_PC_250,0.32919322298061887,1.0,0.670732371629892,0.5438752490400245,0.5446020285897943,0.5337029561777044,-0.13155951155657297,-0.371989049651189,-0.23639263418735554,-0.12393818096571403,-0.21073586897625013,-0.08946181884909203,0.39662096994671736,0.7006056285833001,0.6350439773247151,0.5662043092522944,0.5472140066477507,0.5890532732939162,-0.25995966572663837,-0.5490422029697889,-0.4262015693445625,-0.18111624832697104,-0.17531747366913022,-0.08984582760988567
r0_Discrim_PC_1000,0.41095429519919097,0.670732371629892,1.0,0.6008803361583808,0.6112844225145003,0.630623096108358,-0.16545520654271728,-0.2687664675905986,-0.365926618730788,-0.0859924033587962,-0.06100751079755134,-0.16156832676689878,0.3922400732220704,0.6772287623711809,0.8409182896924857,0.5648053124941061,0.6203683606535363,0.6645120147985277,-0.2506468765103998,-0.4114090138356945,-0.48227718551377236,-0.026675366703804774,-0.07362088379522519,-0.1866843559363797
r0_VE_PC_125,0.3132475553948144,0.5438752490400245,0.6008803361583808,1.0,0.7607721083496265,0.6815385597122937,-0.0959079196235672,-0.21418024140015013,-0.2671856085400642,-0.062154826376372485,0.007324928855610646,-0.07752399220546421,0.2991646370955837,0.6055579813822848,0.5267216294021992,0.48827027591752065,0.5557623433553552,0.5628924924308645,-0.08123505584320061,-0.4683110900229458,-0.345953073852435,0.07777049844600295,0.03798071214795301,0.028047505649892803
r0_VE_PC_250,0.3841511785638395,0.5446020285897943,0.6112844225145003,0.7607721083496265,1.0,0.7503802163127241,-0.12649953112684842,-0.2861048850993084,-0.27398027336631403,-0.07419792446913741,-0.07679667236728858,-0.06875362999942268,0.35869111047644536,0.5948831761692457,0.6211218473286152,0.5400617919909478,0.5173938113439303,0.5441339293916536,-0.06977913364246664,-0.4355902489751226,-0.36729423700902714,0.06813981208418839,-0.06996404515125959,-0.03077119345642398
r0_VE_PC_1000,0.3648193340434978,0.5337029561777044,0.630623096108358,0.6815385597122937,0.7503802163127241,1.0,-0.10412212659244094,-0.24487331289523176,-0.26956037770082725,-0.2042726023955529,-0.12581998705506986,-0.14867437129164873,0.3470791008306151,0.6377357862605924,0.6016494123657502,0.6212560143466906,0.5720291406422656,0.5998210471783962,-0.05811892153746952,-0.4088728212958292,-0.37421432130188015,-0.004852821019974554,-0.11822287476382146,-0.1160720457684044
r0_Discrim 125 RT,-0.15105658675374742,-0.13155951155657297,-0.16545520654271728,-0.0959079196235672,-0.12649953112684842,-0.10412212659244094,1.0,0.15788413040892188,0.10395024770569103,0.005846406044216934,0.18736409566866336,0.08217128477395888,-0.006162744454742675,-0.16490144478936075,-0.15914087524149986,-0.08482234049222323,-0.06557898062734577,-0.12633383750154517,0.21509073593520728,0.24076882480216566,-0.0482093824580528,0.09553268483830382,0.11724609220356935,0.03467457339075994
r0_Discrim 250 RT,-0.24163866060817268,-0.371989049651189,-0.2687664675905986,-0.21418024140015013,-0.2861048850993084,-0.24487331289523176,0.15788413040892188,1.0,0.326802339737331,0.037245219117404735,0.17752197648161802,0.1378765098096211,-0.3253284852915732,-0.31000189324760913,-0.32213236088457603,-0.23944212152202696,-0.1739016656477408,-0.20847732871295624,0.15572286875601699,0.47740205397549385,0.1673716958816455,0.023057571423627805,0.11633446632601295,0.06500743781005676
r0_Discrim 1000 RT,-0.2560425837988006,-0.23639263418735554,-0.365926618730788,-0.2671856085400642,-0.27398027336631403,-0.26956037770082725,0.10395024770569103,0.326802339737331,1.0,0.19633504659694154,0.3059475536053294,0.1712042701389947,-0.10898329424360771,-0.218234649269664,-0.3463492771594773,-0.20744768909271638,-0.2157062685871714,-0.21668250212559997,0.09853690239769437,0.3202823430252537,0.3593698803808995,0.07200437132654446,0.21579170124633806,0.09307305783790674
r0_VE 125 RT,-0.01522119552959776,-0.12393818096571403,-0.0859924033587962,-0.062154826376372485,-0.07419792446913741,-0.2042726023955529,0.005846406044216934,0.037245219117404735,0.19633504659694154,1.0,0.4450821018135708,0.20172139499612235,0.09729800979578235,-0.13495475998021864,-0.12871256683601318,-0.0870354679543441,-0.07542423316510008,-0.1878179215069134,0.013960008159959188,0.03558982385061814,0.23480104725129125,0.4162063897282215,0.39720189603464007,0.3473814417204557
r0_VE 250 RT,-0.10021761015394288,-0.21073586897625013,-0.06100751079755134,0.007324928855610646,-0.07679667236728858,-0.12581998705506986,0.18736409566866336,0.17752197648161802,0.3059475536053294,0.4450821018135708,1.0,0.32496700266014594,-0.07548166335532047,-0.1855054564426304,-0.09954490495994141,-0.03939828372074422,-0.006479291436843176,-0.09552515818535433,0.058783461462929745,0.188400823810845,0.1189042361958228,0.603495023823803,0.35096442321208027,0.3563907213556436
r0_VE 1000 RT,-0.010814638296017897,-0.08946181884909203,-0.16156832676689878,-0.07752399220546421,-0.06875362999942268,-0.14867437129164873,0.08217128477395888,0.1378765098096211,0.1712042701389947,0.20172139499612235,0.32496700266014594,1.0,-0.22242055749668718,-0.1240883688132061,-0.17076661227931406,-0.0656481597319433,-0.038742680500228006,-0.1432603226091439,0.23584989668502862,0.20310129809558758,0.10339090531584517,0.2674106918962688,0.2615681437604682,0.39535039444843445
r1_Discrim_PC_125,0.5290770393906342,0.39662096994671736,0.3922400732220704,0.2991646370955837,0.35869111047644536,0.3470791008306151,-0.006162744454742675,-0.3253284852915732,-0.10898329424360771,0.09729800979578235,-0.07548166335532047,-0.22242055749668718,1.0,0.49743898214584503,0.3756629239299954,0.38362297009540514,0.32384246578227716,0.3271963147238365,-0.24066998776195284,-0.44010664833580354,-0.1193368599696371,0.1089923648130738,-0.033214382878812704,-0.13677435619677372
r1_Discrim_PC_250,0.3684321411990579,0.7006056285833001,0.6772287623711809,0.6055579813822848,0.5948831761692457,0.6377357862605924,-0.16490144478936075,-0.31000189324760913,-0.218234649269664,-0.13495475998021864,-0.1855054564426304,-0.1240883688132061,0.49743898214584503,1.0,0.6784634991288978,0.5911681162518897,0.5532983904303721,0.632411376081791,-0.17661983417549873,-0.6107069434695666,-0.3641075237115024,-0.10865602526140854,-0.08519987322248601,-0.1558004468185904
r1_Discrim_PC_1000,0.3670533506423089,0.6350439773247151,0.8409182896924857,0.5267216294021992,0.6211218473286152,0.6016494123657502,-0.15914087524149986,-0.32213236088457603,-0.3463492771594773,-0.12871256683601318,-0.09954490495994141,-0.17076661227931406,0.3756629239299954,0.6784634991288978,1.0,0.5616380336023252,0.5550798209597407,0.6208968643288713,-0.26541577246159015,-0.4605437434578491,-0.4515459008386063,-0.07284313674334096,-0.1889643300807904,-0.22591940412374142
r1_VE_PC_125,0.3515865916686381,0.5662043092522944,0.5648053124941061,0.48827027591752065,0.5400617919909478,0.6212560143466906,-0.08482234049222323,-0.23944212152202696,-0.20744768909271638,-0.0870354679543441,-0.03939828372074422,-0.0656481597319433,0.38362297009540514,0.5911681162518897,0.5616380336023252,1.0,0.6845226141005358,0.7012457759047092,-0.12972420442386082,-0.35202152065883374,-0.25775712545750173,0.06499619220885723,-0.14746757519473852,-0.019897781531491923
r1_VE_PC_250,0.26527130912868735,0.5472140066477507,0.6203683606535363,0.5557623433553552,0.5173938113439303,0.5720291406422656,-0.06557898062734577,-0.1739016656477408,-0.2157062685871714,-0.07542423316510008,-0.006479291436843176,-0.038742680500228006,0.32384246578227716,0.5532983904303721,0.5550798209597407,0.6845226141005358,1.0,0.7656169775308488,-0.11652985880385175,-0.41667756257210853,-0.36612222802018857,0.08693970760148648,0.04230049255272835,0.02367302669968665
r1_VE_PC_1000,0.3327625594199478,0.5890532732939162,0.6645120147985277,0.5628924924308645,0.5441339293916536,0.5998210471783962,-0.12633383750154517,-0.20847732871295624,-0.21668250212559997,-0.1878179215069134,-0.09552515818535433,-0.1432603226091439,0.3271963147238365,0.632411376081791,0.6208968643288713,0.7012457759047092,0.7656169775308488,1.0,-0.16238552188814365,-0.4308184971199294,-0.35797532349688876,-0.03304633126678518,-0.10681268586744762,-0.08544153327850622
r1_Discrim 125 RT,0.016554101462483956,-0.25995966572663837,-0.2506468765103998,-0.08123505584320061,-0.06977913364246664,-0.05811892153746952,0.21509073593520728,0.15572286875601699,0.09853690239769437,0.013960008159959188,0.058783461462929745,0.23584989668502862,-0.24066998776195284,-0.17661983417549873,-0.26541577246159015,-0.12972420442386082,-0.11652985880385175,-0.16238552188814365,1.0,0.26776056638484047,0.0659793305029495,0.17752008564138605,0.2753204573732254,0.1566155321071909
r1_Discrim 250 RT,-0.30771440275964385,-0.5490422029697889,-0.4114090138356945,-0.4683110900229458,-0.4355902489751226,-0.4088728212958292,0.24076882480216566,0.47740205397549385,0.3202823430252537,0.03558982385061814,0.188400823810845,0.20310129809558758,-0.44010664833580354,-0.6107069434695666,-0.4605437434578491,-0.35202152065883374,-0.41667756257210853,-0.4308184971199294,0.26776056638484047,1.0,0.4253958760562123,0.06471061351407399,0.11505386883579122,0.20776395506989476
r1_Discrim 1000 RT,-0.266033273018038,-0.4262015693445625,-0.48227718551377236,-0.345953073852435,-0.36729423700902714,-0.37421432130188015,-0.0482093824580528,0.1673716958816455,0.3593698803808995,0.23480104725129125,0.1189042361958228,0.10339090531584517,-0.1193368599696371,-0.3641075237115024,-0.4515459008386063,-0.25775712545750173,-0.36612222802018857,-0.35797532349688876,0.0659793305029495,0.4253958760562123,1.0,0.13001656932013195,0.13867599849013676,0.18310824717325325
r1_VE 125 RT,0.03918474223714747,-0.18111624832697104,-0.026675366703804774,0.07777049844600295,0.06813981208418839,-0.004852821019974554,0.09553268483830382,0.023057571423627805,0.07200437132654446,0.4162063897282215,0.603495023823803,0.2674106918962688,0.1089923648130738,-0.10865602526140854,-0.07284313674334096,0.06499619220885723,0.08693970760148648,-0.03304633126678518,0.17752008564138605,0.06471061351407399,0.13001656932013195,1.0,0.4858350456017887,0.44724326106779577
r1_VE 250 RT,0.009477587290127858,-0.17531747366913022,-0.07362088379522519,0.03798071214795301,-0.06996404515125959,-0.11822287476382146,0.11724609220356935,0.11633446632601295,0.21579170124633806,0.39720189603464007,0.35096442321208027,0.2615681437604682,-0.033214382878812704,-0.08519987322248601,-0.1889643300807904,-0.14746757519473852,0.04230049255272835,-0.10681268586744762,0.2753204573732254,0.11505386883579122,0.13867599849013676,0.4858350456017887,1.0,0.4370105931056696
r1_VE 1000 RT,-0.042916141604245575,-0.08984582760988567,-0.1866843559363797,0.028047505649892803,-0.03077119345642398,-0.1160720457684044,0.03467457339075994,0.06500743781005676,0.09307305783790674,0.3473814417204557,0.3563907213556436,0.39535039444843445,-0.13677435619677372,-0.1558004468185904,-0.22591940412374142,-0.019897781531491923,0.02367302669968665,-0.08544153327850622,0.1566155321071909,0.20776395506989476,0.18310824717325325,0.44724326106779577,0.4370105931056696,1.0
