,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,0.7132006818937336,0.6213463814981318,0.7961037466453351,0.7103804826843915,0.6238947402348622,0.2550038646236048,0.2897061455127043,0.3144119903826304,0.25731036867109575,0.28750559464599434,0.3164631028809228
r0_discrim_IES_250,0.7132006818937336,1.0,0.5946416818475424,0.7113250772514953,0.7535651554956976,0.5973714033464246,0.16763809390223874,0.24552383290730914,0.3012622521098962,0.17134359459302925,0.24666905890695398,0.3009785160826988
r0_discrim_IES_1000,0.6213463814981318,0.5946416818475424,1.0,0.6186454817240318,0.5927449528400897,0.6941382967942814,0.2895025633723671,0.3872520214456463,0.39208752035190314,0.294794417655448,0.38413934091654267,0.39089396765767304
r1_discrim_IES_125,0.7961037466453351,0.7113250772514953,0.6186454817240318,1.0,0.7086116899730776,0.6215150883952114,0.2569811690483418,0.2916372274379064,0.3138617643046804,0.2582409226660283,0.2891441765105293,0.31652579463774383
r1_discrim_IES_250,0.7103804826843915,0.7535651554956976,0.5927449528400897,0.7086116899730776,1.0,0.5936554562506229,0.1659505191613943,0.24879773660480115,0.3011586097481654,0.16967528332785003,0.2411029763894307,0.3032217715224332
r1_discrim_IES_1000,0.6238947402348622,0.5973714033464246,0.6941382967942814,0.6215150883952114,0.5936554562506229,1.0,0.2919469839842047,0.3846630978591398,0.38919520396328255,0.29475933838693574,0.38355867009959554,0.39168414028992876
r0_VE_IES_125,0.2550038646236048,0.16763809390223874,0.2895025633723671,0.2569811690483418,0.1659505191613943,0.2919469839842047,1.0,0.4661335422164069,0.39852040863393556,0.406182080300303,0.4592007125717821,0.40102056293233707
r0_VE_IES_250,0.2897061455127043,0.24552383290730914,0.3872520214456463,0.2916372274379064,0.24879773660480115,0.3846630978591398,0.4661335422164069,1.0,0.43965530056963414,0.46031121591538693,0.48607354225921207,0.43960779253641197
r0_VE_IES_1000,0.3144119903826304,0.3012622521098962,0.39208752035190314,0.3138617643046804,0.3011586097481654,0.38919520396328255,0.39852040863393556,0.43965530056963414,1.0,0.40054414889019085,0.43873646296408614,0.387063537502588
r1_VE_IES_125,0.25731036867109575,0.17134359459302925,0.294794417655448,0.2582409226660283,0.16967528332785003,0.29475933838693574,0.406182080300303,0.46031121591538693,0.40054414889019085,1.0,0.4736415956308632,0.40692381154091944
r1_VE_IES_250,0.28750559464599434,0.24666905890695398,0.38413934091654267,0.2891441765105293,0.2411029763894307,0.38355867009959554,0.4592007125717821,0.48607354225921207,0.43873646296408614,0.4736415956308632,1.0,0.4448837422918265
r1_VE_IES_1000,0.3164631028809228,0.3009785160826988,0.39089396765767304,0.31652579463774383,0.3032217715224332,0.39168414028992876,0.40102056293233707,0.43960779253641197,0.387063537502588,0.40692381154091944,0.4448837422918265,1.0
