,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,0.6978735401743061,0.6093860719042741,0.8004525444458372,0.702994077471906,0.6036174599850547,-0.17436213421438299,-0.09755779395917051,-0.08581718685012601,-0.19020708945813897,-0.17332426358540434,-0.0826141556179713
r0_discrim_IES_250,0.6978735401743061,1.0,0.6018361693960003,0.7333126924617662,0.7742498247529646,0.5974290687526742,-0.09092918983522524,-0.0774725586981995,-0.08480290749864798,-0.11134277191102243,-0.1351041616824993,-0.0611187831610158
r0_discrim_IES_1000,0.6093860719042741,0.6018361693960003,1.0,0.6196772142282913,0.5824229636666419,0.683242195437085,-0.19109799615208015,-0.13166834499098612,-0.1230670517435017,-0.21689526250587612,-0.2195403607928774,-0.10500238833403429
r1_discrim_IES_125,0.8004525444458372,0.7333126924617662,0.6196772142282913,1.0,0.7253273779231264,0.6384505458247227,-0.16989803891701008,-0.09668143427433028,-0.09272537528844539,-0.1763488688974865,-0.1678810816836837,-0.08219664830036381
r1_discrim_IES_250,0.702994077471906,0.7742498247529646,0.5824229636666419,0.7253273779231264,1.0,0.5865818473102616,-0.0947628408231795,-0.07459158808344343,-0.08526116822204509,-0.11437917894246531,-0.1344369974546109,-0.0826925675266575
r1_discrim_IES_1000,0.6036174599850547,0.5974290687526742,0.683242195437085,0.6384505458247227,0.5865818473102616,1.0,-0.19889176076688928,-0.13479767517922292,-0.11529598548536002,-0.20092415500845598,-0.2212382240830886,-0.09466471079071263
r0_VE_IES_125,-0.17436213421438299,-0.09092918983522524,-0.19109799615208015,-0.16989803891701008,-0.0947628408231795,-0.19889176076688928,1.0,0.18420445036083055,0.0880478456880963,0.18338417136784846,0.21897649495633378,0.016305491913760916
r0_VE_IES_250,-0.09755779395917051,-0.0774725586981995,-0.13166834499098612,-0.09668143427433028,-0.07459158808344343,-0.13479767517922292,0.18420445036083055,1.0,-0.053562632519410985,0.11452743078428426,0.0884227473234914,0.03976044884460543
r0_VE_IES_1000,-0.08581718685012601,-0.08480290749864798,-0.1230670517435017,-0.09272537528844539,-0.08526116822204509,-0.11529598548536002,0.0880478456880963,-0.053562632519410985,1.0,0.1247546459539819,0.10699627404915153,0.011929497942740737
r1_VE_IES_125,-0.19020708945813897,-0.11134277191102243,-0.21689526250587612,-0.1763488688974865,-0.11437917894246531,-0.20092415500845598,0.18338417136784846,0.11452743078428426,0.1247546459539819,1.0,0.20238774804429982,0.15881341605416918
r1_VE_IES_250,-0.17332426358540434,-0.1351041616824993,-0.2195403607928774,-0.1678810816836837,-0.1344369974546109,-0.2212382240830886,0.21897649495633378,0.0884227473234914,0.10699627404915153,0.20238774804429982,1.0,-0.01576473655670373
r1_VE_IES_1000,-0.0826141556179713,-0.0611187831610158,-0.10500238833403429,-0.08219664830036381,-0.0826925675266575,-0.09466471079071263,0.016305491913760916,0.03976044884460543,0.011929497942740737,0.15881341605416918,-0.01576473655670373,1.0
