,r0_discrim_IES_125,r0_discrim_IES_250,r0_discrim_IES_1000,r1_discrim_IES_125,r1_discrim_IES_250,r1_discrim_IES_1000,r0_VE_IES_125,r0_VE_IES_250,r0_VE_IES_1000,r1_VE_IES_125,r1_VE_IES_250,r1_VE_IES_1000
r0_discrim_IES_125,1.0,0.7121973394169572,0.6078360764154407,0.7893832477793632,0.7023844040569157,0.6153255867135095,0.24939514920384606,0.29848931214629176,0.32062842014073495,0.23685800018177544,0.2621981183193882,0.288283070442396
r0_discrim_IES_250,0.7121973394169572,1.0,0.6214729771032399,0.7051020119804111,0.7650876955950381,0.6183530469359781,0.1638993443354231,0.21651980239484056,0.3240629194217636,0.13576411491313836,0.2554044699183155,0.3800335683905939
r0_discrim_IES_1000,0.6078360764154407,0.6214729771032399,1.0,0.610982227262905,0.5917190219512951,0.7016546665194492,0.28841953283362176,0.3870257964108023,0.379106212436743,0.2832774460146643,0.3779652221546123,0.4047392968876906
r1_discrim_IES_125,0.7893832477793632,0.7051020119804111,0.610982227262905,1.0,0.7288367858139886,0.6490269637181343,0.2451836282951791,0.2563683073748599,0.33256024589240607,0.2102721046220941,0.2875617221605332,0.3228988534370329
r1_discrim_IES_250,0.7023844040569157,0.7650876955950381,0.5917190219512951,0.7288367858139886,1.0,0.5808333302215241,0.16408046695255485,0.22460181142910476,0.23089059851896346,0.11649256360496489,0.2331661706028702,0.2957202606589844
r1_discrim_IES_1000,0.6153255867135095,0.6183530469359781,0.7016546665194492,0.6490269637181343,0.5808333302215241,1.0,0.26794791356580483,0.3946214692618358,0.40313753342565245,0.29364731875429173,0.39367993163147197,0.4072342185812028
r0_VE_IES_125,0.24939514920384606,0.1638993443354231,0.28841953283362176,0.2451836282951791,0.16408046695255485,0.26794791356580483,1.0,0.4642509165187748,0.43105839897110104,0.3731746240722989,0.4154449563024037,0.3993050634588967
r0_VE_IES_250,0.29848931214629176,0.21651980239484056,0.3870257964108023,0.2563683073748599,0.22460181142910476,0.3946214692618358,0.4642509165187748,1.0,0.4592051371587245,0.5030745687130496,0.46955582234918447,0.4470044716373702
r0_VE_IES_1000,0.32062842014073495,0.3240629194217636,0.379106212436743,0.33256024589240607,0.23089059851896346,0.40313753342565245,0.43105839897110104,0.4592051371587245,1.0,0.4127513292833086,0.45509641721750177,0.3638035667953293
r1_VE_IES_125,0.23685800018177544,0.13576411491313836,0.2832774460146643,0.2102721046220941,0.11649256360496489,0.29364731875429173,0.3731746240722989,0.5030745687130496,0.4127513292833086,1.0,0.46857982161660566,0.4059665685821619
r1_VE_IES_250,0.2621981183193882,0.2554044699183155,0.3779652221546123,0.2875617221605332,0.2331661706028702,0.39367993163147197,0.4154449563024037,0.46955582234918447,0.45509641721750177,0.46857982161660566,1.0,0.4307754724041434
r1_VE_IES_1000,0.288283070442396,0.3800335683905939,0.4047392968876906,0.3228988534370329,0.2957202606589844,0.4072342185812028,0.3993050634588967,0.4470044716373702,0.3638035667953293,0.4059665685821619,0.4307754724041434,1.0
