,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_Discrim_PC_125,1.0,0.7699110509579803,0.6996257122572146,0.6104346243631945,0.5888617589399641,0.5572170458548082,-0.6477340691892257,-0.691300947751775,-0.5367744599749072,-0.026147687248015618,-0.12709012950850826,-0.14278498805960982,0.8451707391182652,0.7766568062655397,0.6985294733418406,0.6098855083405658,0.5885493190706245,0.5569365895194237,-0.6366740489731343,-0.6836077120917371,-0.523479955037052,-0.018990152748624155,-0.13431714261724037,-0.15096779157739348
r0_Discrim_PC_250,0.7699110509579803,1.0,0.765129450723381,0.6127516420296286,0.6677432206100923,0.6330354771080497,-0.6229535396868493,-0.6819916667550882,-0.589782850537184,-0.08709615598739631,-0.17884962845209468,-0.17430284548575795,0.7641859386600551,0.7909758688426343,0.765525556599688,0.6174685378836111,0.6283977078482458,0.6363105721555953,-0.6267636448826588,-0.6787986787221721,-0.5904104198382791,-0.07581816383730486,-0.19165691627692413,-0.1848406181985198
r0_Discrim_PC_1000,0.6996257122572146,0.765129450723381,1.0,0.5721761115979941,0.6079282636924346,0.6886297734706419,-0.5534838331525256,-0.6329548022519035,-0.5671730227204607,-0.09444987404405641,-0.17748581241352643,-0.1561880195875243,0.6939864316602065,0.7557516906910898,0.8336076980754664,0.5777165935217579,0.6063962740554263,0.6473015334170229,-0.5513823407010736,-0.6478560259464661,-0.5576720108403628,-0.09107083572248381,-0.17961642591956964,-0.17889018161633125
r0_VE_PC_125,0.6104346243631945,0.6127516420296286,0.5721761115979941,1.0,0.6966618682180175,0.6496969400771215,-0.4462760821529279,-0.49966387251043753,-0.3796121979100356,0.03069569115813795,-0.025829672753447382,-0.012692615001419237,0.5991814534999852,0.6142865944784504,0.5727717020985872,0.5637033775723027,0.5412786585162583,0.5158277720235956,-0.4436774504905886,-0.4965564473831289,-0.37152909058244615,0.033468484697598166,-0.02888430159246282,-0.014395765212183467
r0_VE_PC_250,0.5888617589399641,0.6677432206100923,0.6079282636924346,0.6966618682180175,1.0,0.7191233838627966,-0.4441344852473085,-0.5111485364812876,-0.43510806746849434,-0.0019742749066859683,-0.0792213317490134,-0.059368114553561654,0.5791038079169438,0.6280532040543025,0.6046615561191974,0.5501732301371053,0.552639821156611,0.5438498659039992,-0.44897146365734253,-0.513690901577451,-0.42719698924607746,-0.012410401071395533,-0.08344684393205622,-0.0669767657882531
r0_VE_PC_1000,0.5572170458548082,0.6330354771080497,0.6886297734706419,0.6496969400771215,0.7191233838627966,1.0,-0.4316514350802327,-0.5069461774138287,-0.43453929745036207,-0.05987742718492691,-0.14386234188163893,-0.12527473672788242,0.5513802118383937,0.6265786562146759,0.6471415625176874,0.51993797215716,0.5455794321618666,0.5779639316035607,-0.43677450800337164,-0.5117936473833554,-0.4287144361380482,-0.04896682679232131,-0.15544175573258293,-0.12322750607740979
r0_Discrim 125 RT,-0.6477340691892257,-0.6229535396868493,-0.5534838331525256,-0.4462760821529279,-0.4441344852473085,-0.4316514350802327,1.0,0.7342623893348637,0.6087137665039655,0.2910840191159223,0.3149332604072503,0.3113543154459972,-0.6394274195097832,-0.6120848983488482,-0.5640665251269646,-0.45144044781009257,-0.4327203721071996,-0.4397937764245979,0.8264312199420739,0.7112308898330605,0.5971413806471846,0.2700769079802048,0.32230838058513006,0.3153608609365308
r0_Discrim 250 RT,-0.691300947751775,-0.6819916667550882,-0.6329548022519035,-0.49966387251043753,-0.5111485364812876,-0.5069461774138287,0.7342623893348637,1.0,0.5946683069973998,0.19891254771874273,0.28514295646575966,0.29130982181002,-0.6851542314238399,-0.659571482238257,-0.6355451533209898,-0.5007610385637163,-0.5050128376937654,-0.5099187686330585,0.7162923461943429,0.7829779123528496,0.5857866083576756,0.19553944704303,0.28860024793671224,0.31773304553186144
r0_Discrim 1000 RT,-0.5367744599749072,-0.589782850537184,-0.5671730227204607,-0.3796121979100356,-0.43510806746849434,-0.43453929745036207,0.6087137665039655,0.5946683069973998,1.0,0.3134942355002812,0.3975729465470143,0.3580126133632768,-0.5338877234949446,-0.5723815791741157,-0.5672827082854264,-0.38273364687212,-0.4244702058830132,-0.4389871439471015,0.6108471872998495,0.6020138302803217,0.6714962299921281,0.29824679955122746,0.40624933319949114,0.3710311083887429
r0_VE 125 RT,-0.026147687248015618,-0.08709615598739631,-0.09444987404405641,0.03069569115813795,-0.0019742749066859683,-0.05987742718492691,0.2910840191159223,0.19891254771874273,0.3134942355002812,1.0,0.4753056984400558,0.4078141004487725,-0.037454668990532396,-0.06845160869689322,-0.1123002533765138,0.0342522379840174,0.010363521311528883,-0.06229482313172984,0.28758787973520694,0.204898832427411,0.3045260502351414,0.3861528187773481,0.4588685491184739,0.409528829627541
