duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
250,442049,001815_2014-06-26_20-52-55_260595134347_rgbf000020-resize,-0.084116203,0.084116203,3.29778981,-3.29778981,18.62632266,3.3865
250,442049,001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize,-0.689022552,0.689022552,3.758683113,-3.758683113,18.20973466,3.0835
250,442049,000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize,-0.17305445,0.17305445,3.46728981,-3.46728981,19.65196273,3.556
250,442049,001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize,-0.750329942,0.750329942,3.183576416,-3.183576416,3.862265909,1.7445
250,442049,001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize,-1.622313385,1.622313385,4.153469718,-4.153469718,47.68045959,1.9505
250,442049,001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize,-0.142800046,0.142800046,2.717683113,-2.717683113,6.762963881,2.0425
250,442049,002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize,-0.415207847,0.415207847,3.92878981,-3.92878981,48.7610365,4.0175
250,442049,000788_2014-06-08_22-34-36_260595134347_rgbf000131-resize,-0.069686694,0.069686694,3.27028981,-3.27028981,21.46386214,3.359
250,442049,001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize,-0.991779887,0.991779887,4.335683113,-4.335683113,14.54770666,3.6605
250,442049,000780_2014-06-08_22-28-29_260595134347_rgbf000126-resize,-0.082017365,0.082017365,3.29378981,-3.29378981,14.16539078,3.3825
250,442049,000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,-0.795717307,0.795717307,3.270076416,-3.270076416,22.48637943,1.831
250,442049,000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,-1.309586572,1.309586572,3.557469718,-3.557469718,6.620498201,1.3545
250,442049,002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize,-0.520507217,0.520507217,2.745576416,-2.745576416,40.21868783,1.3065
250,442049,003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize,-0.723307407,0.723307407,3.132076416,-3.132076416,28.25149566,1.693
250,442049,001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize,-1.01032346,1.01032346,3.679076416,-3.679076416,9.548860597,2.24
250,442049,000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,-0.701794321,0.701794321,3.091076416,-3.091076416,25.13136208,1.652
250,442049,000483_2014-06-09_20-41-45_260595134347_rgbf000116-resize,-0.536510854,0.536510854,2.776076416,-2.776076416,29.23241499,1.337
250,442049,002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize,-0.722257988,0.722257988,3.130076416,-3.130076416,28.95381292,1.691
250,442049,002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize,-0.861830694,0.861830694,3.396076416,-3.396076416,13.29707844,1.957
250,442049,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,-0.461119921,0.461119921,4.01628981,-4.01628981,11.59801887,4.105
250,442049,000929_2014-06-09_16-33-19_260595134347_rgbf000139-resize,-0.575947672,0.575947672,3.543183113,-3.543183113,19.50133801,2.868
250,442049,000457_2014-06-08_16-52-43_260595134347_rgbf000199-resize,-0.221852426,0.221852426,3.56028981,-3.56028981,14.06727982,3.649
250,442049,003621_2014-05-23_18-06-08_094959634447_rgbf000101-resize,-0.397367726,0.397367726,3.89478981,-3.89478981,23.0717647,3.9835
250,442049,001584_2014-06-20_11-07-43_260595134347_rgbf000002-resize,-0.923305307,0.923305307,4.205183113,-4.205183113,17.60283414,3.53
250,442049,002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize,-0.62431223,0.62431223,2.943409749,-2.943409749,15.96377228,1.504333333
250,442049,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,-0.407861915,0.407861915,3.91478981,-3.91478981,24.35560653,4.0035
250,442049,002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize,-1.427646191,1.427646191,3.782469718,-3.782469718,37.33165518,1.5795
250,442049,000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize,-0.800964401,0.800964401,3.280076416,-3.280076416,30.99307978,1.841
250,442049,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,-0.293737616,0.293737616,3.69728981,-3.69728981,14.89611111,3.786
250,442049,000642_2014-06-08_16-59-25_260595134347_rgbf000098-resize,-0.583031249,0.583031249,3.556683113,-3.556683113,31.36214301,2.8815
250,442049,002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize,-0.882294361,0.882294361,3.435076416,-3.435076416,17.12852126,1.996
250,442049,000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize,-0.503883738,0.503883738,4.09778981,-4.09778981,9.740561609,4.1865
250,442049,000878_2014-06-08_22-52-45_260595134347_rgbf000045-resize,-0.168773163,0.168773163,2.767183113,-2.767183113,5.576511522,2.092
250,442049,002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize,-0.899872127,0.899872127,3.468576416,-3.468576416,12.02060434,2.0295
250,442049,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,-0.808477556,0.808477556,4.67828981,-4.67828981,14.46030657,4.767
250,442049,002272_2014-06-28_18-53-56_260595134347_rgbf000067-resize,-1.195986982,1.195986982,3.340969718,-3.340969718,10.40924581,1.138
250,442049,001571_2014-06-20_17-21-32_260595134347_rgbf000089-resize,-0.81093388,0.81093388,3.299076416,-3.299076416,4.99196035,1.86
