neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
-0.173519708,0.561909135,2.430405786,-2.412583262,6.620498201,1.3545
-0.335603841,0.532035241,3.119596744,-3.118059738,21.09070096,2.486
-0.222836667,0.574444822,3.618913619,-3.605247516,12.69654998,3.7335
-0.017924326,0.665327527,3.758868706,-3.758868706,19.08143291,4.479
-0.222516573,0.51914386,3.564086309,-3.564086309,14.06727982,3.649
-0.215600151,0.507205088,2.597445016,-2.597445016,25.13136208,1.652
-0.214236177,0.5177029,2.721765966,-2.682107652,22.48637943,1.831
-0.096240839,0.507198557,2.348540465,-2.326715251,29.23241499,1.337
-0.128500964,0.460158776,3.369611026,-3.369611026,19.62928538,3.44
-0.133261086,0.462689228,2.922125772,-2.889568839,13.89728758,2.431
-0.123944022,0.529028136,3.662220709,-3.662220709,16.71621201,4.0585
-0.734069339,0.907045381,3.4615271,-3.4615271,25.74260985,2.3715
-0.435332854,0.634903581,2.907783333,-2.907783333,30.99307978,1.841
-0.387368735,0.740457035,4.301953579,-4.301953579,23.88242026,4.8415
-0.141576753,0.443334241,3.114519605,-3.114216828,31.36214301,2.8815
-0.156553802,0.434308031,3.21359229,-3.21359229,18.49880761,3.057
-0.255390942,0.541932641,3.562233429,-3.552244559,19.65196273,3.556
-0.268051489,0.540051415,3.165050689,-3.165050689,8.707843072,2.724
-0.175338737,0.63650808,3.763800243,-3.759529982,14.74084621,4.153
-0.385471787,0.665062676,3.945894149,-3.943164636,16.05223162,4.098
-0.472224333,0.631528487,3.74954718,-3.74954718,33.40817061,3.515
-0.198410098,0.653381397,4.01277719,-4.01277719,18.91549954,4.632
-0.354012787,0.717019869,4.331992142,-4.331992142,21.45352632,4.973
-0.283612032,0.540581224,3.492424991,-3.485843726,21.46386214,3.359
-0.615538688,0.758339991,3.677864591,-3.677864591,11.91082763,3.068
-0.162198086,0.605222739,3.322129755,-3.295407831,8.082259189,3.2155
-0.165128803,0.616985873,3.799038013,-3.76526762,9.740561609,4.1865
-0.193820021,0.47411011,3.19303708,-3.159992086,19.50133801,2.868
-0.015620625,0.485661308,3.085395688,-3.085395688,18.20973466,3.0835
-0.429425361,0.613555704,3.610209987,-3.590126586,15.98498318,3.2725
-0.312523569,0.543787205,3.194859226,-3.194859226,9.164038325,2.6935
-0.600753072,0.732473318,3.264834224,-3.264834224,9.548860597,2.24
-0.051384424,0.535267496,3.443116433,-3.443116433,14.39827921,3.753
-0.071429316,0.663700478,3.683615652,-3.683615652,26.75991825,4.2115
-0.153412728,0.541706156,3.67944385,-3.67944385,11.08813907,4.0325
-0.235676842,0.603878093,2.762261554,-2.712405609,12.01905066,1.8505
-0.325225097,0.538812531,3.219106722,-3.186975415,18.47928258,2.6505
-0.312344058,0.568900145,3.659434755,-3.659434755,14.54770666,3.6605
-0.032352729,0.462865855,2.603932082,-2.601734689,6.762963881,2.0425
-0.343780624,0.646640252,4.155022664,-4.155022664,49.1709127,4.6255
-0.667719041,0.871486807,4.275514163,-4.244292918,46.83039942,4.13775
-0.238904462,0.52575175,3.485811219,-3.485811219,8.994872109,3.452
-0.284290428,0.582313566,2.684162123,-2.656231944,7.608284544,1.633
-0.150423101,0.498093107,2.667565123,-2.631803868,4.99196035,1.86
-0.095171723,0.531020782,3.409791997,-3.379664356,17.60283414,3.53
-0.015108668,0.52407594,3.425175722,-3.425175722,19.97416996,3.791
