,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_Discrim_PC_125,1.0,0.7359179133502369,0.6952473048422398,0.6101093444849326,0.562984133499718,0.5542918021536614,-0.6412184527373013,-0.6975693982876442,-0.5484523269884611,-0.04498340712225919,-0.1408755313491658,-0.16513084220575508,0.8440984084220121,0.7908612908125898,0.7018060229039645,0.5862086585517534,0.571279216273216,0.5566410301985935,-0.6211716528061825,-0.6706899522058997,-0.5173865145643232,-0.06257296341042287,-0.14402810272662028,-0.12874526691508453
r0_Discrim_PC_250,0.7359179133502369,1.0,0.7736648555887695,0.6066578765877415,0.6474823249578356,0.6380466009875146,-0.619787269917823,-0.6671692128085611,-0.6125375469509362,-0.0921322218567305,-0.18579559746816404,-0.20618494057973874,0.769417305635826,0.7975653493385342,0.7433315184561774,0.5988389310904865,0.6268141607659178,0.6360736092817519,-0.622423654793054,-0.6708674929354792,-0.5579624733669564,-0.08709046570090076,-0.1840491852921681,-0.14897393115062352
r0_Discrim_PC_1000,0.6952473048422398,0.7736648555887695,1.0,0.5761541041608214,0.6240796868247573,0.7056763987958636,-0.5974736855696282,-0.6130769491231397,-0.5779322897436369,-0.10139612980854036,-0.1748174099009509,-0.18478430764248058,0.7083114371641789,0.7750209248338934,0.8324479773508887,0.5624211278431716,0.6172370679613804,0.6462836689942654,-0.5431583501316227,-0.6805191589745714,-0.563018328829872,-0.10801690386593077,-0.19215894050426865,-0.1517021655379831
r0_VE_PC_125,0.6101093444849326,0.6066578765877415,0.5761541041608214,1.0,0.6739384757808422,0.637603370093093,-0.4632102444727975,-0.5039281794444983,-0.35414544557498484,0.027032680264075792,-0.0034439140623694353,-0.0167798540722249,0.6072580054159107,0.6208564613755145,0.5722210526468003,0.5172381948140257,0.5059629884749111,0.48778377548632657,-0.4315139367028915,-0.5036184581283673,-0.37192950967411625,0.02501929102873865,-0.0060301401634078045,0.032487519256051374
r0_VE_PC_250,0.562984133499718,0.6474823249578356,0.6240796868247573,0.6739384757808422,1.0,0.7256872668289966,-0.46849943174338815,-0.5053688581840905,-0.433246375462739,-0.00456118900711692,-0.06482176769467239,-0.07374415800846064,0.5867951016068764,0.6413002082907022,0.6147899398891032,0.5196070705259082,0.5124265149390336,0.5225065608896253,-0.428398669103997,-0.5292913767693531,-0.4034547802619269,0.0008341410115497182,-0.07580598030254777,-0.030352377079701343
r0_VE_PC_1000,0.5542918021536614,0.6380466009875146,0.7056763987958636,0.637603370093093,0.7256872668289966,1.0,-0.471035930302021,-0.4987564946315831,-0.45278125980875333,-0.07555373169331349,-0.13507823881442493,-0.13046574587460952,0.5620128850278283,0.6410063920936596,0.6543597198201708,0.46577741063880096,0.5100549159188494,0.5360366761404463,-0.4337225046612677,-0.5442479624395687,-0.44283595460570985,-0.058043749338732034,-0.1604242844116937,-0.0898910694980396
r0_Discrim 125 RT,-0.6412184527373013,-0.619787269917823,-0.5974736855696282,-0.4632102444727975,-0.46849943174338815,-0.471035930302021,1.0,0.727537274558847,0.6679548726639355,0.26470545264244316,0.30154088571318627,0.3227696787876816,-0.65858603348193,-0.6314862175479743,-0.5711633382252097,-0.471601354762611,-0.4634095921794731,-0.46509974649895935,0.8199816210818373,0.7457782314908554,0.5717632578314007,0.25423120089838747,0.31191400542988984,0.28862159050988384
r0_Discrim 250 RT,-0.6975693982876442,-0.6671692128085611,-0.6130769491231397,-0.5039281794444983,-0.5053688581840905,-0.4987564946315831,0.727537274558847,1.0,0.6284785425456422,0.19581647075159905,0.24447181867036427,0.3509501178174709,-0.69321357584496,-0.6737884744901715,-0.6057066908211768,-0.48483274961120754,-0.5185978676241632,-0.4992367833645795,0.698700989135854,0.7826260907848638,0.5513449898650115,0.1725503808483711,0.2770840488602352,0.28594009992263747
r0_Discrim 1000 RT,-0.5484523269884611,-0.6125375469509362,-0.5779322897436369,-0.35414544557498484,-0.433246375462739,-0.45278125980875333,0.6679548726639355,0.6284785425456422,1.0,0.3319441757381953,0.38819373073986735,0.3292564640705862,-0.5105598107014121,-0.5736983252002161,-0.5305443726673017,-0.3664967914931533,-0.4359143648078154,-0.41563947135355805,0.6159677132977472,0.5999236693072523,0.6418001998677711,0.32093049449281275,0.4164688975153771,0.3405938233417495
r0_VE 125 RT,-0.04498340712225919,-0.0921322218567305,-0.10139612980854036,0.027032680264075792,-0.00456118900711692,-0.07555373169331349,0.26470545264244316,0.19581647075159905,0.3319441757381953,1.0,0.49117786744550757,0.37495740000415323,0.008848016249619808,-0.05641619599557265,-0.07404631556099699,0.040931141604203206,-0.012915098337099501,-0.04835210483457754,0.26746592398225927,0.23292486052999023,0.3209891592874861,0.37942290124719025,0.46566985283687706,0.4272800558847944
r0_VE 250 RT,-0.1408755313491658,-0.18579559746816404,-0.1748174099009509,-0.0034439140623694353,-0.06482176769467239,-0.13507823881442493,0.30154088571318627,0.24447181867036427,0.38819373073986735,0.49117786744550757,1.0,0.46351782880014314,-0.08301702653408145,-0.132539652133242,-0.14677331797022392,-0.023632423676358878,-0.06169620653360606,-0.1219634578449047,0.28815476463264045,0.2841321066975714,0.3823837358199095,0.46287245823072476,0.5059221752135513,0.418270140981407
r0_VE 1000 RT,-0.16513084220575508,-0.20618494057973874,-0.18478430764248058,-0.0167798540722249,-0.07374415800846064,-0.13046574587460952,0.3227696787876816,0.3509501178174709,0.3292564640705862,0.37495740000415323,0.46351782880014314,1.0,-0.13685856070946462,-0.19912299888652057,-0.15608548980367098,-0.025926657164140433,-0.07150849658796982,-0.11906625551217002,0.3182065928965252,0.32444458921272484,0.3098242511859694,0.41900311041679006,0.4574465045538175,0.42155962471463526
r1_Discrim_PC_125,0.8440984084220121,0.769417305635826,0.7083114371641789,0.6072580054159107,0.5867951016068764,0.5620128850278283,-0.65858603348193,-0.69321357584496,-0.5105598107014121,0.008848016249619808,-0.08301702653408145,-0.13685856070946462,1.0,0.7975187254725109,0.6871037669322613,0.6110170843321823,0.6004365623359575,0.5625339035994905,-0.6423723988319718,-0.6913660868030925,-0.49481844430444416,-0.014773077998467549,-0.09058994617474744,-0.07129832868133155
r1_Discrim_PC_250,0.7908612908125898,0.7975653493385342,0.7750209248338934,0.6208564613755145,0.6413002082907022,0.6410063920936596,-0.6314862175479743,-0.6737884744901715,-0.5736983252002161,-0.05641619599557265,-0.132539652133242,-0.19912299888652057,0.7975187254725109,1.0,0.7586175649480836,0.6199858634090358,0.6921344025153126,0.6468284720532653,-0.5961368785656104,-0.6881898776797338,-0.5572585322669343,-0.053593992754544593,-0.1489676453175814,-0.14504288066274412
r1_Discrim_PC_1000,0.7018060229039645,0.7433315184561774,0.8324479773508887,0.5722210526468003,0.6147899398891032,0.6543597198201708,-0.5711633382252097,-0.6057066908211768,-0.5305443726673017,-0.07404631556099699,-0.14677331797022392,-0.15608548980367098,0.6871037669322613,0.7586175649480836,1.0,0.5779911157046373,0.6037721936983663,0.693653760014018,-0.5089319383534067,-0.6721871309005489,-0.5473931536242433,-0.05342627868920254,-0.1405594446582601,-0.14334781669361757
r1_VE_PC_125,0.5862086585517534,0.5988389310904865,0.5624211278431716,0.5172381948140257,0.5196070705259082,0.46577741063880096,-0.471601354762611,-0.48483274961120754,-0.3664967914931533,0.040931141604203206,-0.023632423676358878,-0.025926657164140433,0.6110170843321823,0.6199858634090358,0.5779911157046373,1.0,0.6999893487759123,0.6745855588725704,-0.4231332004326074,-0.4987224602517782,-0.36520734800222565,0.01864253150839324,-0.026409544573215767,-3.757163732175245e-05
r1_VE_PC_250,0.571279216273216,0.6268141607659178,0.6172370679613804,0.5059629884749111,0.5124265149390336,0.5100549159188494,-0.4634095921794731,-0.5185978676241632,-0.4359143648078154,-0.012915098337099501,-0.06169620653360606,-0.07150849658796982,0.6004365623359575,0.6921344025153126,0.6037721936983663,0.6999893487759123,1.0,0.7004093964586633,-0.4214168983854242,-0.5081420395622815,-0.4154782050458265,0.011375717457103864,-0.10718900723721507,-0.02059013175863142
r1_VE_PC_1000,0.5566410301985935,0.6360736092817519,0.6462836689942654,0.48778377548632657,0.5225065608896253,0.5360366761404463,-0.46509974649895935,-0.4992367833645795,-0.41563947135355805,-0.04835210483457754,-0.1219634578449047,-0.11906625551217002,0.5625339035994905,0.6468284720532653,0.693653760014018,0.6745855588725704,0.7004093964586633,1.0,-0.4073553322410957,-0.5389124010016342,-0.4259490137989209,-0.03589386777084393,-0.11929319170665005,-0.08748529818316646
r1_Discrim 125 RT,-0.6211716528061825,-0.622423654793054,-0.5431583501316227,-0.4315139367028915,-0.428398669103997,-0.4337225046612677,0.8199816210818373,0.698700989135854,0.6159677132977472,0.26746592398225927,0.28815476463264045,0.3182065928965252,-0.6423723988319718,-0.5961368785656104,-0.5089319383534067,-0.4231332004326074,-0.4214168983854242,-0.4073553322410957,1.0,0.7022842605870236,0.5113018881143861,0.283027849226989,0.3001360056698467,0.26683259319994146
r1_Discrim 250 RT,-0.6706899522058997,-0.6708674929354792,-0.6805191589745714,-0.5036184581283673,-0.5292913767693531,-0.5442479624395687,0.7457782314908554,0.7826260907848638,0.5999236693072523,0.23292486052999023,0.2841321066975714,0.32444458921272484,-0.6913660868030925,-0.6881898776797338,-0.6721871309005489,-0.4987224602517782,-0.5081420395622815,-0.5389124010016342,0.7022842605870236,1.0,0.5618516704531265,0.1985082359900356,0.2891369882424069,0.28418127227480056
