,r0_Discrim_PC_125,r0_Discrim_PC_250,r0_Discrim_PC_1000,r0_VE_PC_125,r0_VE_PC_250,r0_VE_PC_1000,r0_Discrim 125 RT,r0_Discrim 250 RT,r0_Discrim 1000 RT,r0_VE 125 RT,r0_VE 250 RT,r0_VE 1000 RT,r1_Discrim_PC_125,r1_Discrim_PC_250,r1_Discrim_PC_1000,r1_VE_PC_125,r1_VE_PC_250,r1_VE_PC_1000,r1_Discrim 125 RT,r1_Discrim 250 RT,r1_Discrim 1000 RT,r1_VE 125 RT,r1_VE 250 RT,r1_VE 1000 RT
r0_Discrim_PC_125,1.0,0.2302330190788766,0.22688242043419218,0.8284278029639585,0.20720189921174748,0.2080777818065474,-0.2954697146821525,-0.2810166572812631,-0.16897473298048435,-0.038710287047885095,-0.03419720854522427,-0.04357279124138433,-0.031974238677648516,0.20765282482241174,0.2322644849398128,-0.020390813445080237,0.1875966858029665,0.22379679414089634,-0.29432564320254667,-0.29813229396679897,-0.1610353739095519,-0.02070244192336549,-0.025335529391262178,-0.02755588723584316
r0_Discrim_PC_250,0.2302330190788766,1.0,0.28981759937747503,0.20841662171626185,0.8668933609184832,0.27137062167114534,-0.2729181094436296,-0.3041938049994202,-0.24738574093319685,-0.0301267126915778,-0.02791210301549862,-0.014668903813957579,0.20973832754353106,0.14295443661334162,0.2782050883227741,0.19796694825100303,0.14068978140955773,0.26078320027631113,-0.2770612621709221,-0.31145748581771143,-0.22933229895918406,-0.04797665422605474,-0.04640620393553016,0.0023151180023531664
r0_Discrim_PC_1000,0.22688242043419218,0.28981759937747503,1.0,0.20492991241884873,0.26607294286337035,0.8718184234707189,-0.3056461310611186,-0.3327802810647671,-0.25398768054466353,-0.04970879784967019,-0.08579085466542237,-0.01745374621204951,0.21899803571635335,0.275707944220601,0.07714627648350177,0.21049979501555846,0.25676196374753835,0.09703317564450124,-0.3106984984249123,-0.34937507840978455,-0.23789431421478358,-0.049600473186071053,-0.07307967682307985,-0.026518068881130414
r0_VE_PC_125,0.8284278029639585,0.20841662171626185,0.20492991241884873,1.0,0.20822350434622347,0.2140228945676219,-0.22178584593653308,-0.22727397516756614,-0.1385036252836307,-0.03575402233458898,-0.01842245864756513,-0.013608716501190976,-0.023255946175045866,0.19930922584946337,0.2181053271717683,-0.03342831122223508,0.18794401973999456,0.21869242439192493,-0.21962834425515068,-0.23784435351041616,-0.13106091226489675,-0.008631469562697051,-0.007051877024917314,-0.006727600587615251
r0_VE_PC_250,0.20720189921174748,0.8668933609184832,0.26607294286337035,0.20822350434622347,1.0,0.269054280861112,-0.222074833610538,-0.25110612275008803,-0.19394980332160267,-0.014131126643399628,-0.002125527424088152,0.0159846827685638,0.1870995686943685,0.13624487197474505,0.2476629422739186,0.1833818217176713,0.12945822509927585,0.23820217503083252,-0.22326539710244397,-0.25737855106639485,-0.17708128783233953,-0.0289994242513881,-0.017821882727228268,0.036729136524955054
r0_VE_PC_1000,0.2080777818065474,0.27137062167114534,0.8718184234707189,0.2140228945676219,0.269054280861112,1.0,-0.2565720984765519,-0.2887289102190035,-0.21365923954504884,-0.045280984822678894,-0.07721109540094337,-0.014667156973683102,0.21181548174437212,0.25575341638325044,0.09233163636537216,0.2110582079216128,0.24211841457580704,0.1025263287699846,-0.2680322798060256,-0.2965095130505715,-0.2012331562077744,-0.043868255647627176,-0.0660725336366915,-0.013650641168904187
r0_Discrim 125 RT,-0.2954697146821525,-0.2729181094436296,-0.3056461310611186,-0.22178584593653308,-0.222074833610538,-0.2565720984765519,1.0,0.5057293259888964,0.3759883809945054,0.1755003371159795,0.1780469043477721,0.18569910625880756,-0.27307895083068884,-0.2683859395202598,-0.2936469211131793,-0.21577405031293595,-0.22362016438250726,-0.263564592793324,0.5681816408207822,0.5144994769936435,0.3725319351598702,0.16269132317926807,0.17875710843855624,0.1786978508781036
r0_Discrim 250 RT,-0.2810166572812631,-0.3041938049994202,-0.3327802810647671,-0.22727397516756614,-0.25110612275008803,-0.2887289102190035,0.5057293259888964,1.0,0.38817120617184087,0.13731527913535602,0.18550581044570005,0.16526634826126432,-0.2599924011821544,-0.2997471170385817,-0.3409050057955219,-0.20959129207765415,-0.2543921389602787,-0.30065902230283514,0.5142596213587598,0.4915458217235178,0.3918702498031379,0.14154931305283572,0.19461545820356915,0.15328536717046132
r0_Discrim 1000 RT,-0.16897473298048435,-0.24738574093319685,-0.25398768054466353,-0.1385036252836307,-0.19394980332160267,-0.21365923954504884,0.3759883809945054,0.38817120617184087,1.0,0.21493789642245076,0.22980764477624852,0.2037869801818085,-0.15894500288013336,-0.2147474237023333,-0.2317884645349228,-0.13800594408811248,-0.16462642873562744,-0.20403975791865941,0.383729923629394,0.39595743410884177,0.32867414125508276,0.19585149846153094,0.24516482371912227,0.18823072055950488
r0_VE 125 RT,-0.038710287047885095,-0.0301267126915778,-0.04970879784967019,-0.03575402233458898,-0.014131126643399628,-0.045280984822678894,0.1755003371159795,0.13731527913535602,0.21493789642245076,1.0,0.24378093891129346,0.20282708236007493,-0.013036944638428865,-0.05774243747175947,-0.03212088936208422,-0.012864952224690434,-0.05116877166385331,-0.0381048537443754,0.1645841778511265,0.1396089522949439,0.2128241075896061,0.06091070400936954,0.24628347266807057,0.20229199059214045
