,r0_VE_125,r0_VE_250,r0_VE_1000,r0_RT_125,r0_RT_250,r0_RT_1000,r1_VE_125,r1_VE_250,r1_VE_1000,r1_RT_125,r1_RT_250,r1_RT_1000
r0_VE_125,1.0,-0.035503363461169085,-0.07376918334768881,0.1732545248443876,-0.036129439276724865,0.08910878718785636,-0.05546535086559179,-0.02534715198147937,-0.03496896433719493,0.022369051273176503,-0.020478660764362194,0.055658454396741275
r0_VE_250,-0.035503363461169085,1.0,0.06293426442740038,-0.01492689859992679,0.25365519373537,-0.032130919762364304,0.015840427955218225,-0.04573943136192073,0.03084655482237215,-0.05401291038783147,-0.08240665619493269,-0.038369222341427235
r0_VE_1000,-0.07376918334768881,0.06293426442740038,1.0,0.02392289415448972,0.10533741991367739,-0.16051777249000454,0.03375035322238333,0.021170587671227953,-0.04254192356414763,0.020942510491189684,0.09157812313747453,0.032896693060237195
r0_RT_125,0.1732545248443876,-0.01492689859992679,0.02392289415448972,1.0,0.08163845204049304,0.15355785801004973,0.00875280614976016,-0.13448542014795678,0.015497148266738115,0.2022656512303785,0.051523282173739846,0.0872663172636861
r0_RT_250,-0.036129439276724865,0.25365519373537,0.10533741991367739,0.08163845204049304,1.0,0.029361597802727082,0.035559690078048115,-0.04933478425068511,0.14037348286041465,0.14737659060832226,0.04823287312792769,0.06810768995214364
r0_RT_1000,0.08910878718785636,-0.032130919762364304,-0.16051777249000454,0.15355785801004973,0.029361597802727082,1.0,0.02077726099689917,-0.049919271424369846,0.02340331830309972,0.15533588146682517,0.02568739025786712,-0.07288501469632114
r1_VE_125,-0.05546535086559179,0.015840427955218225,0.03375035322238333,0.00875280614976016,0.035559690078048115,0.02077726099689917,1.0,0.007156172007398907,-0.017125353764630355,0.16389778170046676,0.022845734441255986,-0.006988968961074566
r1_VE_250,-0.02534715198147937,-0.04573943136192073,0.021170587671227953,-0.13448542014795678,-0.04933478425068511,-0.049919271424369846,0.007156172007398907,1.0,-0.0416442557453484,-0.08546676012526457,0.2920029477274138,-0.006330302536777453
r1_VE_1000,-0.03496896433719493,0.03084655482237215,-0.04254192356414763,0.015497148266738115,0.14037348286041465,0.02340331830309972,-0.017125353764630355,-0.0416442557453484,1.0,0.03912533412051735,0.09196600985812696,-0.16365954733747887
r1_RT_125,0.022369051273176503,-0.05401291038783147,0.020942510491189684,0.2022656512303785,0.14737659060832226,0.15533588146682517,0.16389778170046676,-0.08546676012526457,0.03912533412051735,1.0,0.11081892349313442,0.14636325377592588
r1_RT_250,-0.020478660764362194,-0.08240665619493269,0.09157812313747453,0.051523282173739846,0.04823287312792769,0.02568739025786712,0.022845734441255986,0.2920029477274138,0.09196600985812696,0.11081892349313442,1.0,0.08625558564654784
r1_RT_1000,0.055658454396741275,-0.038369222341427235,0.032896693060237195,0.0872663172636861,0.06810768995214364,-0.07288501469632114,-0.006988968961074566,-0.006330302536777453,-0.16365954733747887,0.14636325377592588,0.08625558564654784,1.0
