,s0_y_125,s0_y_250,s0_y_1000,s0_RT_125,s0_RT_250,s0_RT_1000,s1_y_125,s1_y_250,s1_y_1000,s1_RT_125,s1_RT_250,s1_RT_1000
s0_y_125,1.0,0.9905638849897603,0.9905539420712783,0.7433041560350311,0.74010535992768,0.7403902839112335,0.98139546232002,0.9905693467335168,0.9905833056333447,0.7376090264568524,0.7404311356710443,0.7391801934386286
s0_y_250,0.9905638849897603,1.0,0.9905515974726302,0.7398381893685672,0.7434286840531704,0.740305184854274,0.9905747927000959,0.9814084209662309,0.9905896074409215,0.740649980912845,0.7371853315500361,0.739085250552176
s0_y_1000,0.9905539420712783,0.9905515974726302,1.0,0.7398484542917131,0.7400834626446151,0.7439956669249168,0.9905909791802409,0.9905937573413166,0.9814113480784091,0.740794182999714,0.7403810653490285,0.7357702441173939
s0_RT_125,0.7433041560350311,0.7398381893685672,0.7398484542917131,1.0,0.7976417498519112,0.7974877738270115,0.7366494443604682,0.7398642029919131,0.7398221153711211,0.6028609148542908,0.7993236224250554,0.7984708205546863
s0_RT_250,0.74010535992768,0.7434286840531704,0.7400834626446151,0.7976417498519112,1.0,0.7970097479575611,0.7398841468933347,0.7367633629262593,0.7398129654008285,0.7981702632738972,0.6021590357082393,0.7975999431592772
s0_RT_1000,0.7403902839112335,0.740305184854274,0.7439956669249168,0.7974877738270115,0.7970097479575611,1.0,0.7403665862620865,0.7404317664110815,0.7369859248165017,0.7981611838681061,0.7984016595400162,0.6004103050997844
s1_y_125,0.98139546232002,0.9905747927000959,0.9905909791802409,0.7366494443604682,0.7398841468933347,0.7403665862620865,1.0,0.9905916504681427,0.990586738127746,0.7440671502354875,0.7404628912870687,0.7390633764277501
s1_y_250,0.9905693467335168,0.9814084209662309,0.9905937573413166,0.7398642029919131,0.7367633629262593,0.7404317664110815,0.9905916504681427,1.0,0.990569652965408,0.7408575482806916,0.7439364331773765,0.7391262755323476
s1_y_1000,0.9905833056333447,0.9905896074409215,0.9814113480784091,0.7398221153711211,0.7398129654008285,0.7369859248165017,0.990586738127746,0.990569652965408,1.0,0.7407171179816568,0.7405508056525923,0.7426324360237577
s1_RT_125,0.7376090264568524,0.740649980912845,0.740794182999714,0.6028609148542908,0.7981702632738972,0.7981611838681061,0.7440671502354875,0.7408575482806916,0.7407171179816568,1.0,0.7983546113053468,0.7974858723627083
s1_RT_250,0.7404311356710443,0.7371853315500361,0.7403810653490285,0.7993236224250554,0.6021590357082393,0.7984016595400162,0.7404628912870687,0.7439364331773765,0.7405508056525923,0.7983546113053468,1.0,0.7980250809837621
s1_RT_1000,0.7391801934386286,0.739085250552176,0.7357702441173939,0.7984708205546863,0.7975999431592772,0.6004103050997844,0.7390633764277501,0.7391262755323476,0.7426324360237577,0.7974858723627083,0.7980250809837621,1.0
